ind	pop
C106394	s_hayden
C106395	s_hayden
C106420	severy
C106421	severy
C106533	abrams
C106534	abrams
C106795	e_fk_piedra
C106796	e_fk_piedra
C106914	w_fk_boulder
C106915	w_fk_boulder
C111600	kelso
C111601	kelso
C115796	greenback
C115797	greenback
C116990	roan
C116991	roan
C132064	coastal
C132065	coastal
C132968	westslope
C132969	westslope
C137404	dry_gulch
C137405	dry_gulch
C140859	rio_grande
C140860	rio_grande
C146087	s_twin
C146088	s_twin
C153862	hunter
C153863	hunter
C164587	w_antelope
C164589	w_antelope
C172915	lahontan
C172916	lahontan
C54438	yellowstone
C54439	yellowstone
C61158	navajo
C61159	navajo
C64811	williamson
C64812	williamson
C64833	steelman
C64834	steelman
C80221	san_juan
C80222	san_juan
C86113	nanita
C86114	nanita
C88212	bonneville
C88213	bonneville
C89918	como
C89919	como
