sample	sample_id	indel_grp
C61158	C61158	blue
C61159	C61159	blue
C64811	C64811	blue
C64812	C64812	blue
C64833	C64833	green
C64834	C64834	green
C86113	C86113	blue
C86114	C86114	blue
C89918	C89918	green
C89919	C89919	green
C106394	C106394	green
C106395	C106395	green
C106420	C106420	green
C106421	C106421	green
C106533	C106533	green
C106534	C106534	green
C106795	C106795	blue
C106796	C106796	blue
C106914	C106914	blue
C106915	C106915	blue
C111600	C111600	green
C111601	C111601	green
C116990	C116990	green
C116991	C116991	green
C137404	C137404	blue
C137405	C137405	blue
C146087	C146087	green
C146088	C146088	green
C153862	C153862	green
C153863	C153863	green
C164587	C164587	green
C164589	C164589	green
C54438	C54438	yellowstone
C54439	C54439	yellowstone
C80221	C80221	san_juan
C80222	C80222	san_juan
C88212	C88212	bonneville
C88213	C88213	bonneville
C115796	C115796	greenback
C115797	C115797	greenback
C172915	C172915	lahontan
C172916	C172916	lahontan
C132064	C132064	coastal
C132065	C132065	coastal
C132968	C132968	westslope
C132969	C132969	westslope
C140859	C140859	rio_grande
C140860	C140860	rio_grande
