#FID	IID	population
0	C61158	navajo
0	C61159	navajo
0	C64811	williamson
0	C64812	williamson
0	C64833	steelman
0	C64834	steelman
0	C86113	nanita
0	C86114	nanita
0	C89918	como
0	C89919	como
0	C106394	s_hayden
0	C106395	s_hayden
0	C106420	severy
0	C106421	severy
0	C106533	abrams
0	C106534	abrams
0	C106795	e_fk_piedra
0	C106796	e_fk_piedra
0	C106914	w_fk_boulder
0	C106915	w_fk_boulder
0	C111600	kelso
0	C111601	kelso
0	C116990	roan
0	C116991	roan
0	C137404	dry_gulch
0	C137405	dry_gulch
0	C146087	s_twin
0	C146088	s_twin
0	C153862	hunter
0	C153863	hunter
0	C164587	w_antelope
0	C164589	w_antelope
0	C54438	yellowstone
0	C54439	yellowstone
0	C80221	san_juan
0	C80222	san_juan
0	C88212	bonneville
0	C88213	bonneville
0	C115796	greenback
0	C115797	greenback
0	C140859	rio_grande
0	C140860	rio_grande
