sample	unit	library	flowcell	platform	lane	sample_id	fq1	fq2	kb1	kb2
C61158	1	CKDN230016975-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C61158	wholeCRCTdata/C61158_CKDN230016975-1A_HCNCFDSX7_L4_1.fq.gz	wholeCRCTdata/C61158_CKDN230016975-1A_HCNCFDSX7_L4_2.fq.gz	16624013	17822302
C61159	1	CKDN230016976-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C61159	wholeCRCTdata/C61159_CKDN230016976-1A_HCNCFDSX7_L4_1.fq.gz	wholeCRCTdata/C61159_CKDN230016976-1A_HCNCFDSX7_L4_2.fq.gz	17453923	18555453
C64811	1	CKDN230016977-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C64811	wholeCRCTdata/C64811_CKDN230016977-1A_HCNCFDSX7_L4_1.fq.gz	wholeCRCTdata/C64811_CKDN230016977-1A_HCNCFDSX7_L4_2.fq.gz	16240940	17336465
C64812	1	CKDN230016978-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C64812	wholeCRCTdata/C64812_CKDN230016978-1A_HCNCFDSX7_L4_1.fq.gz	wholeCRCTdata/C64812_CKDN230016978-1A_HCNCFDSX7_L4_2.fq.gz	16966854	18419332
C64833	1	CKDN230016979-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C64833	wholeCRCTdata/C64833_CKDN230016979-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C64833_CKDN230016979-1A_HCNCFDSX7_L2_2.fq.gz	11951351	12749407
C64833	2	CKDN230016979-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C64833	wholeCRCTdata/C64833_CKDN230016979-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C64833_CKDN230016979-1A_HCM23DSX7_L1_2.fq.gz	1346674	1448435
C64834	1	CKDN230016980-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C64834	wholeCRCTdata/C64834_CKDN230016980-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C64834_CKDN230016980-1A_HCNCFDSX7_L2_2.fq.gz	16450695	17596398
C86113	1	CKDN230016981-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C86113	wholeCRCTdata/C86113_CKDN230016981-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C86113_CKDN230016981-1A_HCNCFDSX7_L2_2.fq.gz	14214742	15030123
C86114	1	CKDN230016982-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C86114	wholeCRCTdata/C86114_CKDN230016982-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C86114_CKDN230016982-1A_HCNCFDSX7_L2_2.fq.gz	14975609	16082763
C89918	1	CKDN230016983-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C89918	wholeCRCTdata/C89918_CKDN230016983-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C89918_CKDN230016983-1A_HCNCFDSX7_L2_2.fq.gz	12692759	13698779
C89918	2	CKDN230016983-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C89918	wholeCRCTdata/C89918_CKDN230016983-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C89918_CKDN230016983-1A_HCM23DSX7_L1_2.fq.gz	327949	356225
C89919	1	CKDN230016984-1A	HCNCFDSX7	ILLUMINA	2	HCNCFDSX7.2.C89919	wholeCRCTdata/C89919_CKDN230016984-1A_HCNCFDSX7_L2_1.fq.gz	wholeCRCTdata/C89919_CKDN230016984-1A_HCNCFDSX7_L2_2.fq.gz	3486138	3661380
