id	scatter_idx	chrom	start	end	scatter_length
NC_048565.1	scat_0001	NC_048565.1	1	1197155	1197155
NC_048565.1	scat_0002	NC_048565.1	1197156	2394310	1197155
NC_048565.1	scat_0003	NC_048565.1	2394311	3591465	1197155
NC_048565.1	scat_0004	NC_048565.1	3591466	4788620	1197155
NC_048565.1	scat_0005	NC_048565.1	4788621	5985775	1197155
NC_048565.1	scat_0006	NC_048565.1	5985776	7182930	1197155
NC_048565.1	scat_0007	NC_048565.1	7182931	8380085	1197155
NC_048565.1	scat_0008	NC_048565.1	8380086	9577240	1197155
NC_048565.1	scat_0009	NC_048565.1	9577241	10774395	1197155
NC_048565.1	scat_0010	NC_048565.1	10774396	11971550	1197155
NC_048565.1	scat_0011	NC_048565.1	11971551	13168705	1197155
NC_048565.1	scat_0012	NC_048565.1	13168706	14365860	1197155
NC_048565.1	scat_0013	NC_048565.1	14365861	15563015	1197155
NC_048565.1	scat_0014	NC_048565.1	15563016	16760170	1197155
NC_048565.1	scat_0015	NC_048565.1	16760171	17957325	1197155
NC_048565.1	scat_0016	NC_048565.1	17957326	19154480	1197155
NC_048565.1	scat_0017	NC_048565.1	19154481	20351635	1197155
NC_048565.1	scat_0018	NC_048565.1	20351636	21548790	1197155
NC_048565.1	scat_0019	NC_048565.1	21548791	22745945	1197155
NC_048565.1	scat_0020	NC_048565.1	22745946	23943100	1197155
NC_048565.1	scat_0021	NC_048565.1	23943101	25140255	1197155
NC_048565.1	scat_0022	NC_048565.1	25140256	26337410	1197155
NC_048565.1	scat_0023	NC_048565.1	26337411	27534565	1197155
NC_048565.1	scat_0024	NC_048565.1	27534566	28731720	1197155
NC_048565.1	scat_0025	NC_048565.1	28731721	29928875	1197155
NC_048565.1	scat_0026	NC_048565.1	29928876	31126030	1197155
NC_048565.1	scat_0027	NC_048565.1	31126031	32323185	1197155
NC_048565.1	scat_0028	NC_048565.1	32323186	33520340	1197155
NC_048565.1	scat_0029	NC_048565.1	33520341	34717495	1197155
NC_048565.1	scat_0030	NC_048565.1	34717496	35914650	1197155
NC_048565.1	scat_0031	NC_048565.1	35914651	37111805	1197155
NC_048565.1	scat_0032	NC_048565.1	37111806	38308960	1197155
NC_048565.1	scat_0033	NC_048565.1	38308961	39506115	1197155
NC_048565.1	scat_0034	NC_048565.1	39506116	40703270	1197155
NC_048565.1	scat_0035	NC_048565.1	40703271	41900425	1197155
NC_048565.1	scat_0036	NC_048565.1	41900426	43097580	1197155
NC_048565.1	scat_0037	NC_048565.1	43097581	44294735	1197155
NC_048565.1	scat_0038	NC_048565.1	44294736	45491890	1197155
